分组,TeamA,TeamB,开始时间,结束时间,备注,开始时间(UTC),结束时间(UTC)
A组,卡塔尔,厄瓜多尔,2022-11-20T15:59:17.000Z,2022-11-20T17:59:17.000Z2022-11-20T07:59:17.000Z,2022-11-20T09:59:17.000Z
B组,英格兰,伊朗,2022-11-21T12:59:17.000Z,2022-11-21T14:59:17.000Z2022-11-21T04:59:17.000Z,2022-11-21T06:59:17.000Z
A组,塞内加尔,荷兰,2022-11-21T15:59:17.000Z,2022-11-21T17:59:17.000Z2022-11-21T07:59:17.000Z,2022-11-21T09:59:17.000Z
B组,美国,威尔士,2022-11-21T18:59:17.000Z,2022-11-21T20:59:17.000Z2022-11-21T10:59:17.000Z,2022-11-21T12:59:17.000Z
C组,阿根廷,沙特阿拉伯,2022-11-22T09:59:17.000Z,2022-11-22T11:59:17.000Z2022-11-22T01:59:17.000Z,2022-11-22T03:59:17.000Z
D组,丹麦,突尼斯,2022-11-22T12:59:17.000Z,2022-11-22T14:59:17.000Z2022-11-22T04:59:17.000Z,2022-11-22T06:59:17.000Z
C组,墨西哥,波兰,2022-11-22T15:59:17.000Z,2022-11-22T17:59:17.000Z2022-11-22T07:59:17.000Z,2022-11-22T09:59:17.000Z
D组,法国,澳大利亚,2022-11-22T18:59:17.000Z,2022-11-22T20:59:17.000Z2022-11-22T10:59:17.000Z,2022-11-22T12:59:17.000Z
F组,摩洛哥,克罗地亚,2022-11-23T09:59:17.000Z,2022-11-23T11:59:17.000Z2022-11-23T01:59:17.000Z,2022-11-23T03:59:17.000Z
E组,德国,日本,2022-11-23T12:59:17.000Z,2022-11-23T14:59:17.000Z2022-11-23T04:59:17.000Z,2022-11-23T06:59:17.000Z
E组,西班牙,哥斯达黎加,2022-11-23T15:59:17.000Z,2022-11-23T17:59:17.000Z2022-11-23T07:59:17.000Z,2022-11-23T09:59:17.000Z
F组,比利时,加拿大,2022-11-23T18:59:17.000Z,2022-11-23T20:59:17.000Z2022-11-23T10:59:17.000Z,2022-11-23T12:59:17.000Z
G组,瑞士,喀麦隆,2022-11-24T09:59:17.000Z,2022-11-24T11:59:17.000Z2022-11-24T01:59:17.000Z,2022-11-24T03:59:17.000Z
H组,乌拉圭,韩国,2022-11-24T12:59:17.000Z,2022-11-24T14:59:17.000Z2022-11-24T04:59:17.000Z,2022-11-24T06:59:17.000Z
H组,葡萄牙,加纳,2022-11-24T15:59:17.000Z,2022-11-24T17:59:17.000Z2022-11-24T07:59:17.000Z,2022-11-24T09:59:17.000Z
G组,巴西,塞尔维亚,2022-11-24T18:59:17.000Z,2022-11-24T20:59:17.000Z2022-11-24T10:59:17.000Z,2022-11-24T12:59:17.000Z
B组,威尔士,伊朗,2022-11-25T09:59:17.000Z,2022-11-25T11:59:17.000Z2022-11-25T01:59:17.000Z,2022-11-25T03:59:17.000Z
A组,卡塔尔,塞内加尔,2022-11-25T12:59:17.000Z,2022-11-25T14:59:17.000Z2022-11-25T04:59:17.000Z,2022-11-25T06:59:17.000Z
A组,荷兰,厄瓜多尔,2022-11-25T15:59:17.000Z,2022-11-25T17:59:17.000Z2022-11-25T07:59:17.000Z,2022-11-25T09:59:17.000Z
B组,英格兰,美国,2022-11-25T18:59:17.000Z,2022-11-25T20:59:17.000Z2022-11-25T10:59:17.000Z,2022-11-25T12:59:17.000Z
D组,突尼斯,澳大利亚,2022-11-26T09:59:17.000Z,2022-11-26T11:59:17.000Z2022-11-26T01:59:17.000Z,2022-11-26T03:59:17.000Z
C组,波兰,沙特阿拉伯,2022-11-26T12:59:17.000Z,2022-11-26T14:59:17.000Z2022-11-26T04:59:17.000Z,2022-11-26T06:59:17.000Z
D组,法国,丹麦,2022-11-26T15:59:17.000Z,2022-11-26T17:59:17.000Z2022-11-26T07:59:17.000Z,2022-11-26T09:59:17.000Z
C组,阿根廷,墨西哥,2022-11-26T18:59:17.000Z,2022-11-26T20:59:17.000Z2022-11-26T10:59:17.000Z,2022-11-26T12:59:17.000Z
E组,日本,哥斯达黎加,2022-11-27T09:59:17.000Z,2022-11-27T11:59:17.000Z2022-11-27T01:59:17.000Z,2022-11-27T03:59:17.000Z
F组,比利时,摩洛哥,2022-11-27T12:59:17.000Z,2022-11-27T14:59:17.000Z2022-11-27T04:59:17.000Z,2022-11-27T06:59:17.000Z
F组,克罗地亚,加拿大,2022-11-27T15:59:17.000Z,2022-11-27T17:59:17.000Z2022-11-27T07:59:17.000Z,2022-11-27T09:59:17.000Z
E组,西班牙,德国,2022-11-27T18:59:17.000Z,2022-11-27T20:59:17.000Z2022-11-27T10:59:17.000Z,2022-11-27T12:59:17.000Z
G组,喀麦隆,塞尔维亚,2022-11-28T09:59:17.000Z,2022-11-28T11:59:17.000Z2022-11-28T01:59:17.000Z,2022-11-28T03:59:17.000Z
H组,韩国,加纳,2022-11-28T12:59:17.000Z,2022-11-28T14:59:17.000Z2022-11-28T04:59:17.000Z,2022-11-28T06:59:17.000Z
G组,巴西,瑞士,2022-11-28T15:59:17.000Z,2022-11-28T17:59:17.000Z2022-11-28T07:59:17.000Z,2022-11-28T09:59:17.000Z
H组,葡萄牙,乌拉圭,2022-11-28T18:59:17.000Z,2022-11-28T20:59:17.000Z2022-11-28T10:59:17.000Z,2022-11-28T12:59:17.000Z
A组,厄瓜多尔,塞内加尔,2022-11-29T14:59:17.000Z,2022-11-29T16:59:17.000Z2022-11-29T06:59:17.000Z,2022-11-29T08:59:17.000Z
A组,荷兰,卡塔尔,2022-11-29T14:59:17.000Z,2022-11-29T16:59:17.000Z2022-11-29T06:59:17.000Z,2022-11-29T08:59:17.000Z
B组,伊朗,美国,2022-11-29T18:59:17.000Z,2022-11-29T20:59:17.000Z2022-11-29T10:59:17.000Z,2022-11-29T12:59:17.000Z
B组,威尔士,英格兰,2022-11-29T18:59:17.000Z,2022-11-29T20:59:17.000Z2022-11-29T10:59:17.000Z,2022-11-29T12:59:17.000Z
D组,突尼斯,法国,2022-11-30T14:59:17.000Z,2022-11-30T16:59:17.000Z2022-11-30T06:59:17.000Z,2022-11-30T08:59:17.000Z
D组,澳大利亚,丹麦,2022-11-30T14:59:17.000Z,2022-11-30T16:59:17.000Z2022-11-30T06:59:17.000Z,2022-11-30T08:59:17.000Z
C组,波兰,阿根廷,2022-11-30T18:59:17.000Z,2022-11-30T20:59:17.000Z2022-11-30T10:59:17.000Z,2022-11-30T12:59:17.000Z
C组,沙特阿拉伯,墨西哥,2022-11-30T18:59:17.000Z,2022-11-30T20:59:17.000Z2022-11-30T10:59:17.000Z,2022-11-30T12:59:17.000Z
F组,克罗地亚,比利时,2022-12-01T14:59:17.000Z,2022-12-01T16:59:17.000Z2022-12-01T06:59:17.000Z,2022-12-01T08:59:17.000Z
F组,加拿大,摩洛哥,2022-12-01T14:59:17.000Z,2022-12-01T16:59:17.000Z2022-12-01T06:59:17.000Z,2022-12-01T08:59:17.000Z
E组,日本,西班牙,2022-12-01T18:59:17.000Z,2022-12-01T20:59:17.000Z2022-12-01T10:59:17.000Z,2022-12-01T12:59:17.000Z
E组,哥斯达黎加,德国,2022-12-01T18:59:17.000Z,2022-12-01T20:59:17.000Z2022-12-01T10:59:17.000Z,2022-12-01T12:59:17.000Z
H组,韩国,葡萄牙,2022-12-02T14:59:17.000Z,2022-12-02T16:59:17.000Z2022-12-02T06:59:17.000Z,2022-12-02T08:59:17.000Z
H组,加纳,乌拉圭,2022-12-02T14:59:17.000Z,2022-12-02T16:59:17.000Z2022-12-02T06:59:17.000Z,2022-12-02T08:59:17.000Z
G组,塞尔维亚,瑞士,2022-12-02T18:59:17.000Z,2022-12-02T20:59:17.000Z2022-12-02T10:59:17.000Z,2022-12-02T12:59:17.000Z
G组,喀麦隆,巴西,2022-12-02T18:59:17.000Z,2022-12-02T20:59:17.000Z2022-12-02T10:59:17.000Z,2022-12-02T12:59:17.000Z
1/8 决赛(赛事49),荷兰,美国,2022-12-03T14:59:17.000Z,2022-12-03T16:59:17.000Z2022-12-03T06:59:17.000Z,2022-12-03T08:59:17.000Z
1/8 决赛(赛事50),阿根廷,澳大利亚,2022-12-03T18:59:17.000Z,2022-12-03T20:59:17.000Z2022-12-03T10:59:17.000Z,2022-12-03T12:59:17.000Z
1/8 决赛(赛事51),日本,克罗地亚,2022-12-05T14:59:17.000Z,2022-12-05T16:59:17.000Z2022-12-05T06:59:17.000Z,2022-12-05T08:59:17.000Z
1/8 决赛(赛事52),巴西,韩国,2022-12-05T18:59:17.000Z,2022-12-05T20:59:17.000Z2022-12-05T10:59:17.000Z,2022-12-05T12:59:17.000Z
1/8 决赛(赛事53),法国,波兰,2022-12-04T14:59:17.000Z,2022-12-04T16:59:17.000Z2022-12-04T06:59:17.000Z,2022-12-04T08:59:17.000Z
1/8 决赛(赛事54),英格兰,塞内加尔,2022-12-04T18:59:17.000Z,2022-12-04T20:59:17.000Z2022-12-04T10:59:17.000Z,2022-12-04T12:59:17.000Z
1/8 决赛(赛事55),摩洛哥,西班牙,2022-12-06T14:59:17.000Z,2022-12-06T16:59:17.000Z2022-12-06T06:59:17.000Z,2022-12-06T08:59:17.000Z
1/8 决赛(赛事56),葡萄牙,瑞士,2022-12-06T18:59:17.000Z,2022-12-06T20:59:17.000Z2022-12-06T10:59:17.000Z,2022-12-06T12:59:17.000Z
1/4 决赛(赛事57),荷兰,阿根廷,2022-12-09T18:59:17.000Z,2022-12-09T20:59:17.000Z2022-12-09T10:59:17.000Z,2022-12-09T12:59:17.000Z
1/4 决赛(赛事58),法国,英格兰,2022-12-10T18:59:17.000Z,2022-12-10T20:59:17.000Z2022-12-10T10:59:17.000Z,2022-12-10T12:59:17.000Z
1/4 决赛(赛事59),克罗地亚,巴西,2022-12-09T14:59:17.000Z,2022-12-09T16:59:17.000Z2022-12-09T06:59:17.000Z,2022-12-09T08:59:17.000Z
1/4 决赛(赛事60),摩洛哥,葡萄牙,2022-12-10T14:59:17.000Z,2022-12-10T16:59:17.000Z2022-12-10T06:59:17.000Z,2022-12-10T08:59:17.000Z
半决赛(赛事61),阿根廷,克罗地亚,2022-12-13T18:59:17.000Z,2022-12-13T20:59:17.000Z2022-12-13T10:59:17.000Z,2022-12-13T12:59:17.000Z
半决赛(赛事62),法国,摩洛哥,2022-12-14T18:59:17.000Z,2022-12-14T20:59:17.000Z2022-12-14T10:59:17.000Z,2022-12-14T12:59:17.000Z
季军赛,克罗地亚,摩洛哥,2022-12-17T14:59:17.000Z,2022-12-17T16:59:17.000Z2022-12-17T06:59:17.000Z,2022-12-17T08:59:17.000Z
决赛,阿根廷,法国,2022-12-18T14:59:17.000Z,2022-12-18T16:59:17.000Z2022-12-18T06:59:17.000Z,2022-12-18T08:59:17.000Z
